State,Winner
Alabama,Trump
Alaska,Trump
Arizona,Trump
Arkansas,Trump
California,Clinton
Colorado,Clinton
Connecticut,Clinton
Delaware,Clinton
District of Columbia,Clinton
Florida,Trump
Georgia,Trump
Hawaii,Clinton
Idaho,Trump
Illinois,Clinton
Indiana,Trump
Iowa,Clinton
Kansas,Trump
Kentucky,Trump
Louisiana,Trump
Maine,Clinton
Maryland,Clinton
Massachusetts,Clinton
Michigan,Clinton
Minnesota,Clinton
Mississippi,Trump
Missouri,Trump
Montana,Trump
Nebraska,Trump
Nevada,Trump
New Hampshire,Clinton
New Jersey,Clinton
New Mexico,Clinton
New York,Clinton
North Carolina,Clinton
North Dakota,Trump
Ohio,Clinton
Oklahoma,Trump
Oregon,Clinton
Pennsylvania,Clinton
Rhode Island,Clinton
South Carolina,Trump
South Dakota,Trump
Tennessee,Trump
Texas,Trump
Utah,Trump
Vermont,Clinton
Virginia,Clinton
Washington,Clinton
West Virginia,Trump
Wisconsin,Clinton
Wyoming,Trump
